module,section,id,name,description,synonyms,alternative_definition,additional,crate_slot,iri,iri_label,iri_predicate,iri_justification,iri_source_version,oecd_gd211,lincs,toxtemp,nature,oecd_gd34,oecd_gd417,oecd_oht201
General Information,,doi,DOI,"DOI stands for Digital Object Identifier. It is a unique ID to correspond to an electronic document such as an electronic journal article. Note, not all electronic journal articles have a DOI.  However, you may come across this ID on a journal article page, on a publisher's website, in a record in a database such as PubMed, or in a citation in a bibliography.  Some citation styles include the DOI at the end of the citation. [Health and science library]. Protocol DOIs (e.g., from protocols.io) are valid uses of this field for citing the procedure itself.",,,True,Investigation:citation,,,,,,,,,,True,True,
General Information,,references_to_main_scientific_papers,Reference(s) to main scientific papers,List of bibliographic references to papers that explain assay development [OECD GD 211],References list,Availability of key publications [ToxTemp],,Investigation:citation,,,,,,True,,True,,True,,True
General Information,,test_type,Test type,"e.g., in vivo, or in vitro, ex vivo, in chemico, in silico",,,,Investigation:keywords,,,,,,,,,,,,True
General Information,,endpoints,Endpoint(s),"Define the specific endpoint(s) of the test system that you use for toxicity testing (e.g., cytotoxicity, cell migration, etc.). Indicate whether cytotoxicity is the primary endpoint.What are secondary/further endpoints?Also describe here potential reference/normalization endpoints (e.g. cytotoxicity, protein content, housekeeping gene expression) that are used for normalization of the primary endpoint. [ToxTemp]",,"The recorded observation coming from an in chemico method, an in vitro assay or an in vivo assay [OECD]",,Assay:char,,,,,,,,True,,,True,True
General Information,,availability_of_information,Availability  of  information,"Indicate whether the assay is proprietary  or  non-proprietary  (to  what  extent  is  the  assay  method  transferable  or  contains proprietary  elements)  and  specify  (if  possible)  what  kind  of  information  about  the  assay  cannot  be disclosed  or  is  not  available  (e.g.,  chemical  reference  sets  (training  or  test  sets),  prediction  model). Example: “The assay is non-proprietary, but the training and test sets are not available”; “The model is proprietary, and the prediction model and associated data sets are confidential”; “Company XYZ’s in vitro model for sensitisation may be transferable but the prediction model is confidential”. Obviously ensuring scientific confidence in an assay is facilitated if all information is transparent and can be disclosed. [OECD GD 211]",Method transfer,,,Study:char,,,,,,True,,True,,True,,
General Information,,information_about_the_throughput_of_the_assay,Information about the throughput of the assay,"Indicate the throughput of the assay to provide an indication of likely resource intensity e.g., low (manual assay, one chemical tested at a time), lowmoderate, moderate, moderate-high, high throughput (e.g., in 96 well-plate and higher), and qualify with e.g., approximate number of chemicals/concentrations per run. If appropriate indicate whether a manual assay could be run in a higher throughput mode. [OECD GD 211]",,,,Study:char,,,,,,True,,True,,,,
General Information,,status_of_the_method,Status of the method,"i)  Development  status:  Indicate  if  the  assay  is  still  under  development,  and  the  estimated  timeline  for completion as far as possible; ii) Known uses: summarise the current and/or past use of the assay by different laboratories; iii) Evaluation study: summarise the main conclusions or refer to individual protocol if available; iv)  Validation  study:  indicate  participation  in  a  formal  validation  study/studies  and  summarise  the conclusions and their outcomes or refer to the individual protocol if available; v)  Regulatory  use:  provide  details  of  any potential regulatory  application and  of  the toxicological hazard endpoint being addressed by the assay [OECD GD 211] If applicable: what is the status of the standardised assay, research, new method etc., is there an (S)OP? Reference to the SOP",validation approach;prospective validation;retrospective validation;prevalidation,,,Study:char,,,,,,True,,,,True,,
General Information,,standards_followed,Standards followed,"Standards followed such as good cell culture practice [OECD GD 211] Information about qualifier, guideline, standards and deviations [OECD]",GLP compliance statement;OECD TG alignment;OECD Test Guideline,,,Investigation:char,,,,,,,,,,True,True,True
General Information,,funding,Funding,List all funding sources (including grant number) and the role of the funder(s) in the study. [ARRIVE],,You may reference funding sources for this experiment.  [MIFlowCyt],,Investigation:funder,,,,,,,,,,,True,
General Information,,abbreviations_and_definitions,Abbreviations and definitions,Used abbrevations and definitions of specific terminology,,,,Study:char,,,,,,True,,True,,,,
General Information,,supplementary_information,Supplementary Information,Name of the attached document(s) with remarks about content,,,,Investigation:hasPart,,,,,,,,,,True,,True
Chemical Information,Chemical description and generation procedure,compound_name,Compound name,"Used designation / name in the present work, standardized name of the nanomaterial (OECD)",Material name;Nanomaterial;Compound designation;Substance;chemical name;formulation name;product name,,,MolecularEntity:name,http://purl.obolibrary.org/obo/NCIT_C96972,Chemical Name,skos:closeMatch,semapv:ManualMappingCuration,ncit:26.02d,,,,,True,True,True
Chemical Information,Chemical description and generation procedure,cas_registry_number,CAS Registry Number,"It is a unique numeric identifier, designates only one substance, has no chemical significance, represents a link to a wealth of information about a specific chemical substance [CAS REGISTRY and CAS Registry Number FAQs]",,,,MolecularEntity:identifier,http://semanticscience.org/resource/CHEMINF_000446,CAS registry number,skos:exactMatch,semapv:ManualMappingCuration,enm:10.0,,,,,True,True,True
Chemical Information,Chemical description and generation procedure,sample_source,Sample source,Origin (who has produced/provided) of the sample,supplier;source of substance;chemical supplier,,True,MolecularEntity:char,http://www.ebi.ac.uk/efo/EFO_0004443,material supplier,skos:broadMatch,semapv:ManualMappingCuration,efo:3.91.0,,,,,True,True,
Chemical Information,Chemical description and generation procedure,hazards,Hazards,"Information about material safety. Physical hazards, e.g. nanoscale metal powders are very reactive and may have a high potential to explode (self-ignite). See also safety data sheet (SDS)",Flammability;Explosion;SDS;safety data sheet,,,MolecularEntity:char,http://purl.obolibrary.org/obo/NCIT_C73538,Hazard,skos:closeMatch,semapv:ManualMappingCuration,ncit:26.02d,,,,,True,,
Chemical Information,Chemical composition,structural_formula,Structural formula,An empirical formula and molecular structure must be provided. [OECD],Molecular structure,For the identification of chemical compounds,,MolecularEntity:formula;MolecularEntity:smiles,http://semanticscience.org/resource/CHEMINF_000042,molecular formula,skos:closeMatch,semapv:ManualMappingCuration,cheminf:2.1.0,,,,,,True,
Chemical Information,Sample preparation,procedure_description,Procedure description,The suitability of the sample preparation methodology for the intended purpose. (OECD),,Dispersion of as prepared or delivered NM in media used for biological experiments (DaNa),,MolecularEntity:char,http://purl.obolibrary.org/obo/NCIT_C201324,Procedure Description,skos:closeMatch,semapv:ManualMappingCuration,ncit:26.02d,,,,,,,True
Biological Model Information,Model characterization in vitro > General information,cell_line_name,Cell name,"Immortalized (naturally or engineered), genetically uniform tissue cells able to reproduce indefinitely in standard culture conditions. [LINCS]",,,,CellLineSample:name,,,none,semapv:ManualMappingCuration,,,True,,,,True,True
Biological Model Information,Model characterization in vitro > General information,test_system_category,Type of test system,"Category of the test system used (e.g. cell line, primary cells, tissue, bacteria, yeast), per IUCLID IntEff_Type. Carried by the cell-based test system's sampleType.",,,True,CellLineSample:sampleType,,,,,,,,,,,,True
Biological Model Information,Model characterization in vitro > General information,cell_line_origin,Cell line origin,"For each cell line, include in the Methods section a statement that specifies the source of the cell lines. Are any cell lines used in this paper listed in the database of commonly misidentified cell lines maintained by ICLAC (also available in NCBI Biosample)? [Nature]",Cell line database; Cell line source,,,CellLineSample:char,http://purl.obolibrary.org/obo/CLO_0037290,cell line cell origin,skos:relatedMatch,semapv:ManualMappingCuration,clo:2.1.188,True,True,True,True,,True,
Biological Model Information,Model characterization in vitro > General information,provider_name,Provider name,Name of vendor or lab (provider) that supplied the cell line [LINCS],,,,CellLineSample:char,http://purl.obolibrary.org/obo/NCIT_C90473,Test Subject Supplier,skos:closeMatch,semapv:ManualMappingCuration,ncit:26.02d,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,provider_catalog_id,Provider Catalog ID,ID or catalogue number or name assigned to the cell line by the vendor or provider [LINCS],,,,CellLineSample:char,http://purl.obolibrary.org/obo/NCIT_C99286,Catalog Number,skos:exactMatch,semapv:ManualMappingCuration,ncit:26.02d,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,provider_batch_id,Provider Batch ID,Vendor/Provider Batch ID number; Batch or lot number assigned to the cell line by the vendor or provider [LINCS],,,,CellLineSample:char,,,,,,,True,,,True,True,
Biological Model Information,Model characterization in vitro > General information,organism,Organism,"Organism of origin; a controlled vocabulary describing the organism from which the cell line was derived (e.g. Homo sapiens, Mus musculus, etc.)  [LINCS]",species of origin,,,CellLineSample:taxonomicRange,http://purl.obolibrary.org/obo/NCIT_C14250,Organism,skos:exactMatch,semapv:ManualMappingCuration,ncit:26.02d,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,organ,Organ,"Organ of origin; controlled terms describing the organ from which cell line is derived; (e.g. lung, mammary gland etc.)  [LINCS]",,,,CellLineSample:char,http://purl.obolibrary.org/obo/UBERON_0000062,organ,skos:exactMatch,semapv:ManualMappingCuration,uberon:2026-04-01,,True,,,,,True
Biological Model Information,Model characterization in vitro > General information,tissue,Tissue,Tissue of origin; A controlled vocabulary describing the tissue from which the cell line was derived [LINCS],,,,CellLineSample:char,http://purl.obolibrary.org/obo/UBERON_0000479,tissue,skos:exactMatch,semapv:ManualMappingCuration,uberon:2026-04-01,,True,,,,True,True
Biological Model Information,Model characterization in vitro > General information,cell_line_cell_type,Cell type,"A controlled vocabulary describing the cell type from which a cell line was derived, e.g. epithelial like, fibroblast-like, lymphoblast like, hematopoietic, mesenchymal, neural, etc. This provides information about cell morphology. Also sometimes referred to as cell morphology [LINCS]",Morphology,,,CellLineSample:char,http://www.ebi.ac.uk/efo/EFO_0000324,cell type,skos:exactMatch,semapv:ManualMappingCuration,efo:3.91.0,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,cell_type_detail,Cell type detail,"Additional description of cell type (histology) that is not available in CL, but may be known from other sources like ATCC [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,True
Biological Model Information,Model characterization in vitro > General information,growth_properties,Growth properties,"A controlled vocabulary describing the growth properties of the cell line (e.g. adherent, suspension) [LINCS]",Culture properties [ATCC],,,CellLineSample:char,http://www.bioassayontology.org/bao#BAO_0002099,cell growth property,skos:exactMatch,semapv:ManualMappingCuration,bao:2.8.19,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,donor_sex,Donor sex,Describes sex of the organism from which the cell was obtained [LINCS],,,,CellLineSample:char,,,,,,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,donor_age,Donor age,The age of the donor [LINCS],,,,CellLineSample:char,,,,,,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,phenotype,Phenotype,,,,,CellLineSample:char,http://www.bioassayontology.org/bao#BAO_0002542,cell phenotype,skos:closeMatch,semapv:ManualMappingCuration,bao:2.8.19,,,,,,,
Biological Model Information,Model characterization in vitro > General information,genotype,Genotype,,,,,CellLineSample:char,http://www.ebi.ac.uk/efo/EFO_0000513,genotype,skos:exactMatch,semapv:ManualMappingCuration,efo:3.91.0,,,,,,,
Biological Model Information,Model characterization in vitro > General information,donor_ethnicity,Donor ethnicity,"For human cells, the ethnicity of the donor [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,donor_health_status,Donor health status,Controlled vocabulary describing the health status of the donor [LINCS],,,,CellLineSample:char,,,,,,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,disease,Disease,"If the cell line came from a particular diseased tissue, the disease should be noted in terms of a controlled vocabulary (e.g. breast cancer, colon cancer, not diseased, etc.) [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,disease_details,Disease details,Additional description of a disease related to the cell line that may not be available in the disease ontology above [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,known_mutations,Known mutations,"Mutations inherent (from the donor) in the cell line, captured explicitly; e.g. if reference is not available [LINCS]",,,,CellLineSample:char,http://purl.obolibrary.org/obo/NCIT_C45576,Mutation Abnormality,skos:closeMatch,semapv:ManualMappingCuration,ncit:26.02d,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,mutation_citations,Mutation citations,Mutations inherent in certain cell lines; from a reference [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,molecular_features,Molecular features,Relevant molecular and morphological features of the Cell Line [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,genetic_modification,Genetic modification,"This field specifies any stable constructs as well as any genetic modifications (mutations, translocations) introduced into this cell line (e.g. H2B-mCherry integrated at the AAVS1 Safe Harbor locus). Details of the procedures used to generate this line (e.g. CRISPR/Cas9-mediated transformation) should be described and appropriate citations provided in the Production Details field [LINCS]",,,,CellLineSample:char,http://www.ebi.ac.uk/efo/EFO_0000510,genetic modification,skos:exactMatch,semapv:ManualMappingCuration,efo:3.91.0,,True,,,,,True
Biological Model Information,Model characterization in vitro > General information,recommended_culture_conditions,Recommended culture conditions,"A description of the standard tissue culture conditions (media, supplements, culture dish treatment) used to maintain the cell line. Description of culture dish treatment conditions would include information about coating of culture dish with fibronectin, collagen, etc., prior to cell plating. If special culture vessels are required to grow the cells, these should also be mentioned, and details provided [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,related_projects,Related projects,"Other projects in which the cell line has been studied / used; A controlled vocabulary describing other large-scale projects in which the cell line has been used (e.g. ENCODE, TCGA, ICBP, Epigenomics, etc.) [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,verification_reference_profile,Verification reference profile,"Expected STR (reference) profile of the cell line based on provider information, if available [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,reference_source,Reference source,"This field specifies a catalog entry or database record for this cell line at a cell type collection, if available, or an established external source [LINCS]",RRID;Research Resource Identifier,,,CellLineSample:identifier,,,,,,,True,,,,True,
Biological Model Information,Model characterization in vitro > General information,cell_markers,Cell markers,A controlled vocabulary describing the markers used to isolate / identify the cell type [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,gonsome_code,Gonsome code,"List of the sex chromosomes (gonosome) of the sample e.g. XX, XY, XXY [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,disease_site_onset,Disease site onset,Site of disease onset in primary cell donor [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,disease_age_onset,Disease age onset,Age of disease onset in primary cell donor (in years) [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,donor_disease_duration,Donor disease duration,Age of death of primary cell donor (in years) [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > General information,cell_relevant_citations,Cell relevant citations,"List of references (with PMIDs) of relevance to cell line derivation, etc. [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Model characterization in vitro > Custom fields,culture_conditions,Culture conditions,A description of the culture conditions that were used and are suitable for this type of cell [LINCS],Cell culture method,Precise cell culture method [Drasler],,LabProcessCellCulture:param,http://purl.obolibrary.org/obo/BTO_0000216,culture condition,skos:closeMatch,semapv:ManualMappingCuration,bto:2021-10-26,,True,,,,,
Biological Model Information,Model characterization in vitro > Custom fields,cell_culturing_material,Cell culturing material,Detailed description of the source and providers of the materials (cell culture plastic device),,,,LabProcessCellCulture:param,,,,,,,,,,,True,
Biological Model Information,Model characterization in vitro > Custom fields,media_preparation,Media preparation,Detailed description of the source and providers of the reagents,,,,LabProcessCellCulture:param,,,,,,,,,,,True,
Biological Model Information,Model characterization in vitro > Custom fields,cell_seeding_details,Cell seeding details,"The number of cells seeded, percentage confluency at the start of an experiment, and time between seeding and experimentation should be reported for cell culture experiments. For experiments involving multiple cell types (e.g. co-culture, tumour spheroids), the number of non-target (e.g. healthy) cells and the number of target (e.g. diseased) cells should be reported. Ideally, however, the number of cells for each cell type present should be reported. [MIRIBEL]",seeding density,,,LabProcessExposure:param,http://purl.obolibrary.org/obo/MSIO_0000062,cell seeding density,skos:broadMatch,semapv:ManualMappingCuration,msio:1.0.1,,,,,,True,
Biological Model Information,Model characterization in vitro > Custom fields,mycoplasma_testing,Mycoplasma testing,"Have the cell lines been tested for mycoplasma contamination? In this checklist, indicate on which page (or section and paragraph) the information can be found. [Nature]",,,,LabProcessCellCulture:param,,,,,,,,,True,,True,
Biological Model Information,Model characterization in vitro > Custom fields,cell_line_authentication,Cell line authentication,"Have the cell lines been authenticated? If so, by which method? [Nature]",,,,LabProcessCellCulture:param,,,,,,,,,True,,True,
Biological Model Information,Model characterization in vitro > Custom fields,passage_number,Passage number,"The number of times, if any that the cells have been re-plated and allowed to grow back to confluency or to some maximum density if using suspension cultures. [LINCS]",,,,LabProcessCellCulture:param,http://www.ebi.ac.uk/efo/EFO_0007061,passage number,skos:exactMatch,semapv:ManualMappingCuration,efo:3.91.0,,True,,,,True,
Biological Model Information,Model characterization in vitro > Custom fields,cell_growth,Cell growth,Description before and during the test performance [Drasler],,,,LabProcessCellCulture:param,http://purl.obolibrary.org/obo/NCIT_C16402,Cell Growth,skos:closeMatch,semapv:ManualMappingCuration,ncit:26.02d,,True,,,,,
Biological Model Information,Model characterization in vitro > Custom fields,morphology,Morphology,Description before and during the test performance [Drasler],,,,LabProcessCellCulture:param,http://purl.obolibrary.org/obo/PATO_0010006,cell morphology,skos:exactMatch,semapv:ManualMappingCuration,pato:2025-05-14,,True,,,,,
Biological Model Information,Model characterization in vitro > Custom fields,justification_of_biological_model,Justification of biological model,"If applicable, give brief summary and references for the prediction model; Consider the intended purpose of the prediction model [OECD GD 211]",Cell culture choice,A justification of the selected cell culture. [Deagle],,Study:char,,,,,,True,,True,,True,True,True
Biological Model Information,Model characterization in vitro > Custom fields,biological_fluid_characterization,Biological fluid characterization,"For example, when investigating protein adsorption onto nanoparticles dispersed in blood serum, pertinent aspects of the blood serum should be characterised (e.g., protein concentrations and differences between donors used in study) [MIRIBEL]",,,,LabProcessCellCulture:param,,,,,,,,,,,,
Biological Model Information,Cell differentiation,differentiated_cell_name,Cell name,The name of the iPSCs that were differentiated [LINCS],,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Cell differentiation,differentiated_cell_type,Cell type,"Cell type of the differentiated cell. A cell type is a distinct morphological or functional form of cell. Examples are epithelial, glial etc. [LINCS]",,,,CellLineSample:char,,,,,,,True,,,,,
Biological Model Information,Cell differentiation,differentiation,Differentiation,Description before and during the test performance [Drasler],,,,LabProcessCellCulture:param,http://purl.obolibrary.org/obo/GO_0030154,cell differentiation,skos:closeMatch,semapv:ManualMappingCuration,cl:2026-06-08,,,,,,,
Biological Model Information,Cell differentiation,differentiation_protocol,Differentiation protocol,The protocol that was used to differentiate the cells [LINCS],,,,LabProtocol:description,http://purl.obolibrary.org/obo/OBI_0000272,protocol,skos:broadMatch,semapv:ManualMappingCuration,obi:2026-05-08,,True,,,,,
Biological Model Information,Cell differentiation,transient_modifications,Transient modifications,Transient transfection or viral transduction [LINCS],,,,CellLineSample:char,http://purl.obolibrary.org/obo/CLO_0000004,cell line cell modification,skos:broadMatch,semapv:ManualMappingCuration,clo:2.1.188,,True,,,,,
Biological Model Information,Cell differentiation,days_post_differentiation,Days post differentiation,The number of days after the initiation of differentiation [LINCS],,,,LabProcessCellCulture:param,,,,,,,True,,,,,
Exposure Information,Exposure Information,exposure,Exposure,"Route of administration / exposure e.g. aerosol, dispersion, oral gavage, intravenous",Administration,,True,LabProcessExposure:param,,,,,,,,,,,True,
Exposure Information,Exposure Information,vehicles,Vehicles,Dispersing agent,solvents;diluents;test article vehicles,,,LabProcessExposure:param,,,,,,,,,,True,True,True
Exposure Information,Exposure Information,incubation_time,Incubation time,"Incubation time, exposure time or duration and frequency of treatment",Exposure time,,,LabProcessExposure:param,,,,,,,,True,,True,,
Exposure Information,Exposure Information,readout_frequency,Readout frequency,Details on sampling,Measuring timepoint/s,,,LabProcessEndpointReadout:param,,,,,,,,,,,,
Exposure Information,Exposure Information,dose,Dose,"administered dose, the initially added dose",Concentration;concentrations tested,,,LabProcessExposure:param,,,,,,,,,,True,True,True
Exposure Information,Exposure Information,dose_settings,Dose settings,"Number of doses/concentrations, testing range",Concentration settings;concentrations tested;concentration spacing,,,LabProcessExposure:param,,,,,,,,True,,True,True,True
Exposure Information,Exposure Information,dose_justification,Dose justification,Doses selected should be anchored by known human exposures; conversions from human exposures<-> in vitro exposures are suggested (via e.g. reverse dosimetry models). [Drasler],Dose selection;concentration range justification,,,LabProcessExposure:param,,,,,,,,,,True,True,True
Exposure Information,Exposure Information,controls,Controls,"Chemical positive and negative controls need to be included in each assay and the use of NM-based negative and positive controls is recommended. [Drasler]. For longitudinal control values across past runs (the historical-control dataset itself), see the dedicated `historical_control_data` row.",Reference material;Positive and negative controls;acceptable control ranges;historical control data,Reference materials are required as a benchmark control in toxicological studies in order to check the correct performance of the test involving positive and negative controls. [BfR],,LabProcessExposure:param,,,,,,,,True,,True,True,True
Exposure Information,Exposure Information,number_of_replicates,Number of replicates,"Number of technical and/or biological replicates. If replicates are not performed, provide a rationale (GD 34 p.40 §104, p.51 §149).",repeat experiments,,,LabProcessExposure:param,http://www.ebi.ac.uk/efo/EFO_0000683,replicate,skos:broadMatch,semapv:ManualMappingCuration,efo:3.91.0,,,True,,True,True,True
Exposure Information,Study design,specialized_equipment_needed,Specialized equipment needed,"mendatory needed specialized equipment, e.g. electron microscope, specific sonicator or cell culture material etc.",facilities;major fixed equipment,,,LabProtocol:labEquipment,,,,,,,,True,,True,,
Exposure Information,Study design,specific_licenses,Specific  licenses,"e.g. permission to work with genetic modified organisms, license to use specific method/software",Specific facilities,,,,,,,,,,,True,,,,
Exposure Information,Sample preparation,sterilization,Sterilization,"Removal of microbial contamination from nanoparticles. Important parameter for attributing the properties of the nanomaterial to toxic reactions that occur, including endotoxin removal.",Biological contamination;contamination control,,,MolecularEntity:char,,,,,,,,,,,True,
Exposure Information,In vitro,methods,Method(s),Descritpion of the used in vitro method,,,,Assay:description,,,,,,,,,,,,
Exposure Information,In vitro,cellular_model_system,Cellular model system,"e.g 2D-, 3D-, Co-culture models. For complex models (organoids, spheroids, OoC, MPS), also capture dynamic physiological features such as fluid flow rates and mechanical stretching.",,NM response need to be assessed in multiple (at least three) different cell types and/or co-cultures. [Drasler],,CellLineSample:char,,,,,,,,,,,True,
Exposure Information,In vitro,culture_dimensions,Culture dimensions,"e.g.  type of well, volume of added media, surface of the well",,,,LabProcessExposure:param,,,,,,,,,,,,
Exposure Information,In vitro,exposure_conditions,Exposure conditions,"Physical conditions of the test environment maintained during test item administration: temperature, humidity, CO2 concentration, and the medium used (including its composition). Distinct from the steady-state maintenance conditions of the cell line itself, which are captured by `culture_conditions` and `recommended_culture_conditions` in the Biological Model module. The atomic parameters are also captured individually by their own GD 417 items (`incubation_temperature`, `incubation_humidity`, `co2_concentration`, `culture_medium`); for the medium, the component-level identity (sources, providers, supplements) lives in `media_preparation`. See GD 417 Table 2.1 p.21 and p.33 Sec 2.3.3 in vitro.",experimental exposure conditions;in vitro exposure environment;culture medium during exposure;test medium,,,LabProcessExposure:param,,,,,,,,,,,True,True
Exposure Information,Dose metrics,units_mass_or_number_concentration_per_cell,Units: mass or number concentration per cell,"It is recommended that all the three-mass metrics are reported (mass, surface area and number) [Drasler]",,"Dosimetry, delivered dose",,LabProcessExposure:param,,,,,,,,,,,,
Exposure Information,Dose metrics,intracellular_nm_concentration,Intracellular NM concentration,"In the likelihood of intracellular NM alterations or dissolution, detection of intracellular NM concentration is recommended.  [Drasler]",,,,LabProcessExposure:param,,,,,,,,,,,,
Exposure Information,Dose metrics,deposited_dose_on_the_cell_surface,Deposited dose on the cell surface,Deposited dose on the cell surface needs to be calculated (specified methods or models).  [Drasler],,,,LabProcessExposure:param,,,,,,,,,,,,
Exposure Information,Dose metrics,dosimetric_conversions,Dosimetric conversions,"Use of specific model systems e.g. Air-liquid interface (ALI) protocols for lung cell experiments may overcome the issue with suspension cultures by a direct deposition of a NM onto the lung cell surface. Use of ALI (and barrier protocols) avoids the need for many dosimetric conversions since most of the aerosolization systems can measure the deposited NM concentration on-line thus allowing to obtain a dose-related effect (Braakhuis et al., 2016) [Drasler]",,,,LabProcessExposure:param,,,,,,,,,,,,
Endpoint Read Out Information,Test methods,analytical_method,Method(s),Overview on analytical method(s) to assess test endpoint(s) [ToxTemp],Method(s),Describe the response and its measurement [OECD GD 211],,Assay:measurementMethod,,,,,,True,,True,,,True,True
Endpoint Read Out Information,Test methods,type_of_method,Type of method,e.g. Quantitative or qualitative,,,True,LabProcessEndpointReadout:param,,,,,,,,,,,,True
Endpoint Read Out Information,Test methods,test_method_purpose,Test method purpose,"What is the claimed purpose and rationale for intended use of method, e.g. alternative to an existing method, screening, provision of novel information in regulatory decision-making, mechanistic information, adjunct test, replacement, etc.",,,,Assay:char,,,,,,True,,True,,True,,
Endpoint Read Out Information,Test methods,endpoints_of_the_test_method,Endpoint(s) of the test method,"Response here makes reference to any biological effect, process or activity that can be measured [OECD GD 211]",,,,LabProcessEndpointReadout:param,http://www.bioassayontology.org/bao#BAO_0000179,endpoint,skos:exactMatch,semapv:ManualMappingCuration,bao:2.8.19,True,,True,,True,True,True
